approved_term,wrong_usage,comment
аналіз даних тесту,1. Інженер проводив аналіз даних тесту для виявлення проблем з програмним забезпеченням.,надто загальне
аналіз даних тесту,2. Вчитель вирішив провести аналіз даних тесту учнів для виявлення їхніх навчальних потреб.,неточний переклад
аналіз даних тесту,3. Директор запропонував провести аналіз даних тесту студентів для оцінки їхніх знань.,некоректне спрощення
аналіз даних тесту,4. Психолог провів аналіз даних тесту пацієнтів для визначення їхнього психічного стану.,перекручення
аналіз даних тесту,5. Компанія використовує програмне забезпечення для автоматичного аналізу даних тесту клієнтів.,калька з англійської
адміністративна стандартизація,1. На засіданні було обговорено питання адміністративної стандартизації в управлінні,заміна
адміністративна стандартизація,"2. Військові вирішили, що потрібно впровадити адміністративну стандартизацію у військовому господарстві",надто загальне
адміністративна стандартизація,3. Директор оголосив про впровадження адміністративної стандартизації в усіх відділах компанії,неточний переклад
адміністративна стандартизація,4. Нова керівництво вирішило впровадити адміністративну стандартизацію для оптимізації роботи підприємства,заміна
адміністративна стандартизація,5. Команда менеджерів вирішила провести аудит для оцінки ефективності адміністративної стандартизації,калька
військова стандартизація,1. Військова стандартизація забезпечує однаковість у виробництві та постачанні військової техніки,надто загальне.
військова стандартизація,2. Українські військові вдосконалюють військову стандартизацію для підвищення ефективності бойових дій,неточний переклад.
військова стандартизація,3. Військова стандартизація є необхідною для забезпечення взаємодії між військовими формуваннями,заміна.
військова стандартизація,4. Офіцери управління займаються впровадженням нових стандартів військової стандартизації,перекручення.
військова стандартизація,5. Військова стандартизація включає в себе узгодження вимог щодо якості та безпеки військового обладнання,надто загальне.
виконавець робіт із військової стандартизації,1. Військова стандартизація виконавця робіт є дуже важливою для успішного завершення проекту.,надто загальне.
виконавець робіт із військової стандартизації,"2. Завдяки виконавцю робіт із військової стандартизації, наші військові одиниці можуть бути впевнені в якості обладнання.",калька з російської.
виконавець робіт із військової стандартизації,3. Виконавець робіт із військової стандартизації виявився дуже компетентним у своїй справі.,неточний переклад.
виконавець робіт із військової стандартизації,4. Для успішного виконання завдань у сфері оборони потрібно мати досвідченого виконавця робіт із військової стандартизації.,перекручення.
виконавець робіт із військової стандартизації,5. Основною метою виконавця робіт із військової стандартизації є забезпечення високої якості техніки та обладнання для військових відомств.,некоректне спрощення.
замовник робіт із військової стандартизації,1. Замовник робіт із військової стандартизації повинен затвердити нову форму обліку матеріалів.,надто загальне
замовник робіт із військової стандартизації,2. Цього тижня замовник робіт із військової стандартизації проведе інспекцію на складі.,неточний переклад
замовник робіт із військової стандартизації,3. Замовник робіт із військової стандартизації вирішив збільшити кількість військової техніки в розпорядженні.,перекручення
замовник робіт із військової стандартизації,4. Компанія отримала замовлення від замовника робіт із військової стандартизації на постачання спеціального обладнання.,калька
замовник робіт із військової стандартизації,5. Замовник робіт із військової стандартизації передав план виробництва наступного кварталу.,неправильний контекст
запровадження стандарту,1. Наша компанія запроваджує стандарт виробництва нових продуктів,перекручення
запровадження стандарту,2. Вчора на засіданні було оголошено про запровадження нового стандарту безпеки на робочому місці,калька
запровадження стандарту,3. Команда виробників домашнього текстилю розглядає можливість запровадження стандарту використання екологічних матеріалів,заміна
запровадження стандарту,4. Уряд вирішив запровадити новий стандарт протидії корупції в державних установах,надто загальне
запровадження стандарту,5. Компанія вже має досвід у запровадженні стандартів якості продукції,неточний переклад
матеріальна стандартизація,1. У військовому відділі провели матеріальну стандартизацію обладнання.,Неточний переклад
матеріальна стандартизація,2. Наша армія потребує матеріальну стандартизацію для підвищення ефективності.,Надто загальне
матеріальна стандартизація,3. Команда з матеріальної стандартизації вирішила замінити старе обладнання на нове.,Заміна
матеріальна стандартизація,4. Військові відділи відповідають за проведення матеріальної стандартизації у підрозділах.,Граматичне перекручення
матеріальна стандартизація,5. Матеріальна стандартизація є важливим етапом у підготовці військової техніки до бойових дій.,Інший відтінок значення
міжвідомча робоча група,1. На нараді було утворено міжвідомчу робочу групу з питань економічного розвитку,калька з російської.
міжвідомча робоча група,2. Місцева влада створила міжвідомчу робочу групу для боротьби зі злочинністю,некоректне спрощення.
міжвідомча робоча група,3. Вчора відбулося засідання міжвідомчої робочої групи з питань охорони здоров'я,неточний переклад.
міжвідомча робоча група,4. Уряд прийняв рішення створити міжвідомчу робочу групу для вивчення проблеми безробіття,перекручення.
міжвідомча робоча група,5. Міністерство оборони утворило міжвідомчу робочу групу для вивчення питань безпеки на кордонах,надто загальне.
